CAUSE,RANK,NUMBER,RATE,AGE ADJUSTED RATE,RACE
DISEASES OF HEART,1,849,183.712949058065,175.471894759808,WHITE
MALIGNANT NEOPLASMS,2,711,153.851480306578,141.219146327058,WHITE
ACCIDENTS AND ADVERSE EFFECTS,3,556,120.311424824834,114.229301471332,WHITE
COVID-19,4,435,94.1285428036024,89.6600347037249,WHITE
CEREBROVASCULAR DISEASE,6,181,39.1661293044874,37.517611689589,WHITE
CHRONIC LOWER RESPIRATORY DISEASES,5,197,42.6283285800222,39.1276279921786,WHITE
DIABETES MELLITUS,8,119,25.7501071117901,23.5813351719039,WHITE
ALZHEIMER'S DISEASE,7,150,32.4581182081388,32.6949555972819,WHITE
SUICIDE,9,73,15.7962841946275,15.4443742497536,WHITE
ASSAULT (HOMICIDE),17,27,5.84246127746498,5.5503633304747,WHITE
HYPERTENSION AND RENAL DISEASE,11,54,11.68492255493,10.9645967477908,WHITE
CHRONIC LIVER DISEASE AND CIRRHOSIS,10,68,14.7143469210229,13.4224903951383,WHITE
DISEASES OF HEART,1,367,191.480924951999,220.018767123216,BLACK
MALIGNANT NEOPLASMS,2,282,147.132481843226,161.023290884112,BLACK
ACCIDENTS AND ADVERSE EFFECTS,3,255,133.045329326321,135.119885172866,BLACK
COVID-19,4,242,126.262626262626,140.395152446837,BLACK
CEREBROVASCULAR DISEASE,6,97,50.6093997829535,63.1106478415286,BLACK
CHRONIC LOWER RESPIRATORY DISEASES,8,51,26.6090658652642,30.6198963040771,BLACK
DIABETES MELLITUS,5,102,53.2181317305284,55.613966206809,BLACK
ALZHEIMER'S DISEASE,9,48,25.0438266967193,42.9709573388824,BLACK
SUICIDE,12,21,10.9566741798147,11.4141937249981,BLACK
ASSAULT (HOMICIDE),7,71,37.0439936555639,35.7093249839234,BLACK
HYPERTENSION AND RENAL DISEASE,10,42,21.9133483596293,25.6488893232037,BLACK
CHRONIC LIVER DISEASE AND CIRRHOSIS,13,19,9.91318140078471,8.38902398217276,BLACK
