CAUSE,RANK,NUMBER,RATE,AGE ADJUSTED RATE,RACE
DISEASES OF HEART,1,2569,346.2,239.5,WHITE
MALIGNANT NEOPLASMS,2,1948,262.5,171.5,WHITE
COVID-19,3,1657,223.3,154.6,WHITE
ACCIDENTS AND ADVERSE EFFECTS,4,967,130.3,131.1,WHITE
CHRONIC LOWER RESPIRATORY DISEASES,5,714,96.2,61.6,WHITE
CEREBROVASCULAR DISEASE,6,472,63.6,43.8,WHITE
ALZHEIMER'S DISEASE,7,439,59.2,42.5,WHITE
DIABETES MELLITUS,8,333,44.9,30.5,WHITE
PNEUMONIA AND INFLUENZA,9,0,0.0,0.0,WHITE
CHRONIC LIVER DISEASE AND CIRRHOSIS,10,0,0.0,0.0,WHITE
"NEPHRITIS, NEPHROTIC SYNDROME, NEPHROSIS",11,0,0.0,0.0,WHITE
SEPTICEMIA,13,0,0.0,0.0,WHITE
HYPERTENSION AND RENAL DISEASE,15,0,0.0,0.0,WHITE
BENIGN NEOPLASMS,18,0,0.0,0.0,WHITE
DISEASES OF HEART,1,52,271.087477843812,246.089298306279,BLACK
MALIGNANT NEOPLASMS,2,46,239.808153477218,224.26631811967,BLACK
COVID-19,3,35,182.462725471796,170.882137063676,BLACK
ACCIDENTS AND ADVERSE EFFECTS,4,18,93.8379730997811,92.25619721176,BLACK
CHRONIC LOWER RESPIRATORY DISEASES,6,12,62.5586487331874,63.4076925701293,BLACK
CEREBROVASCULAR DISEASE,5,14,72.9850901887186,68.3048037242321,BLACK
ALZHEIMER'S DISEASE,8,0,0.0,0.0,BLACK
DIABETES MELLITUS,7,0,0.0,0.0,BLACK
PNEUMONIA AND INFLUENZA,14,0,0.0,0.0,BLACK
CHRONIC LIVER DISEASE AND CIRRHOSIS,10,0,0.0,0.0,BLACK
"NEPHRITIS, NEPHROTIC SYNDROME, NEPHROSIS",9,0,0.0,0.0,BLACK
SEPTICEMIA,10,0,0.0,0.0,BLACK
HYPERTENSION AND RENAL DISEASE,10,0,0.0,0.0,BLACK
BENIGN NEOPLASMS,10,0,0.0,0.0,BLACK
