CAUSE,TOTAL RANK,NUMBER,RATE,AGE ADJUSTED RATE
DISEASES OF HEART,1,"1,155",166.4,172.7
MALIGNANT NEOPLASMS,2,"1,047",150.8,151.2
ACCIDENTS AND ADVERSE EFFECTS,3,581,83.7,83.4
ALZHEIMER'S DISEASE,4,284,40.9,46.2
CHRONIC LOWER RESPIRATORY DISEASES,5,276,39.8,41.6
CEREBROVASCULAR DISEASE,6,263,37.9,40
DIABETES MELLITUS,7,158,22.8,22.9
SUICIDE,8,92,13.3,12.7
CHRONIC LIVER DISEASE AND CIRRHOSIS,9,91,13.1,12.9
PNEUMONIA AND INFLUENZA,10,80,11.5,12.4
"NEPHRITIS, NEPHROTIC SYNDROME, NEPHROSIS",11,78,11.2,11.4
ASSAULT (HOMICIDE),12,75,10.8,10.9
HYPERTENSION AND RENAL DISEASE,13,72,10.4,10.7
