CAUSE,TOTAL RANK,NUMBER,RATE,AGE ADJUSTED RATE
DISEASES OF HEART,1,2251,289.9723167,200.6951867
MALIGNANT NEOPLASMS,2,2049,263.9508116,174.5021345
CHRONIC LOWER RESPIRATORY DISEASES,3,774,99.7061631,65.10800432
ACCIDENTS AND ADVERSE EFFECTS,4,619,79.73916662,73.58399895
ALZHEIMER'S DISEASE,5,466,60.02980879,42.2650672
CEREBROVASCULAR DISEASE,6,393,50.62599754,35.10598749
DIABETES MELLITUS,7,340,43.79857294,30.11363131
PNEUMONIA AND INFLUENZA,8,213,27.43851775,19.38215428
CHRONIC LIVER DISEASE AND CIRRHOSIS,9,204,26.27914376,20.229602
SUICIDE,10,168,21.64164781,21.42983985
"NEPHRITIS, NEPHROTIC SYNDROME, NEPHROSIS",11,156,20.09581582,14.2804
HYPERTENSION AND RENAL DISEASE,14,71,9.146172584,6.34256105
