CAUSE,TOTAL RANK,NUMBER,RATE,AGE ADJUSTED RATE
DISEASES OF HEART,1,978,265.9,198.3
MALIGNANT NEOPLASMS,2,725,197.1,146.7
CHRONIC LOWER RESPIRATORY DISEASES,3,310,84.3,61.1
ACCIDENTS AND ADVERSE EFFECTS,4,237,64.4,59.4
ALZHEIMER'S DISEASE,5,216,58.7,43.4
CEREBROVASCULAR DISEASE,6,193,52.5,37.8
DIABETES MELLITUS,7,111,30.2,24
SUICIDE,8,61,16.6,16.1
PARKINSON'S DISEASE,9,59,16,12.3
CHRONIC LIVER DISEASE AND CIRRHOSIS,10,53,14.4,11.9
HYPERTENSION AND RENAL DISEASE,11,51,13.9,10
"NEPHRITIS, NEPHROTIC SYNDROME, NEPHROSIS",12,45,12.2,9.5
ASSAULT (HOMICIDE),14,36,9.8,10.3
