CAUSE,TOTAL RANK,NUMBER,RATE,AGE ADJUSTED RATE
DISEASES OF HEART,1,2222,166.5838246,173.1140865
MALIGNANT NEOPLASMS,2,2190,164.1847776,157.9529652
ACCIDENTS AND ADVERSE EFFECTS,3,814,61.02575752,62.55971367
CHRONIC LOWER RESPIRATORY DISEASES,4,664,49.78022481,50.23654999
ALZHEIMER'S DISEASE,5,566,42.43314343,49.19396364
CEREBROVASCULAR DISEASE,6,548,41.08367951,43.97232892
DIABETES MELLITUS,7,259,19.41728648,19.068364
SUICIDE,8,221,16.5684182,16.51466894
CHRONIC LIVER DISEASE AND CIRRHOSIS,9,171,12.81990729,11.69224669
PNEUMONIA AND INFLUENZA,10,167,12.52002642,13.33266484
HYPERTENSION AND RENAL DISEASE,13,117,8.771515515,9.15376344
ASSAULT (HOMICIDE),15,80,5.997617446,6.106829889
