CAUSE,TOTAL RANK,NUMBER,RATE,AGE ADJUSTED RATE
DISEASES OF HEART,1,2061,219.9183496,207.5107143
MALIGNANT NEOPLASMS,2,1694,180.7577313,166.2109623
ACCIDENTS AND ADVERSE EFFECTS,3,576,61.46189683,61.07252374
CEREBROVASCULAR DISEASE,4,491,52.39199886,50.39422252
CHRONIC LOWER RESPIRATORY DISEASES,5,319,34.03879355,31.90502301
ALZHEIMER'S DISEASE,6,294,31.3711765,32.42907396
DIABETES MELLITUS,7,240,25.60912368,23.65120779
ASSAULT (HOMICIDE),8,226,24.11525813,24.56767286
SEPTICEMIA,9,188,20.06048021,18.70139094
PNEUMONIA AND INFLUENZA,10,173,18.45990998,17.6614318
"NEPHRITIS, NEPHROTIC SYNDROME, NEPHROSIS",11,145,15.47217889,14.97117536
SUICIDE,13,110,11.73751502,11.69288875
