CAUSE,TOTAL RANK,NUMBER,RATE,AGE ADJUSTED RATE
DISEASES OF HEART,1,1219,294.694294,234.1771648
MALIGNANT NEOPLASMS,2,955,230.8720679,173.0928749
CHRONIC LOWER RESPIRATORY DISEASES,3,328,79.2942809,60.49769853
ACCIDENTS AND ADVERSE EFFECTS,4,314,75.90976891,72.14255602
ALZHEIMER'S DISEASE,5,280,67.69023979,56.15903365
CEREBROVASCULAR DISEASE,6,232,56.08619869,44.39506763
DIABETES MELLITUS,7,142,34.32862161,26.54733151
PNEUMONIA AND INFLUENZA,8,95,22.96633136,18.56083583
SUICIDE,9,86,20.79057365,19.68316184
CHRONIC LIVER DISEASE AND CIRRHOSIS,10,75,18.13131423,14.55265809
PARKINSON'S DISEASE,11,69,16.68080909,13.48555451
"NEPHRITIS, NEPHROTIC SYNDROME, NEPHROSIS",12,60,14.50505138,11.32455935
