CAUSE,TOTAL RANK,NUMBER,RATE,AGE ADJUSTED RATE
DISEASES OF HEART,1,572,361.2388218,229.9086676
MALIGNANT NEOPLASMS,2,451,284.8229172,180.7162934
CHRONIC LOWER RESPIRATORY DISEASES,3,127,80.20512302,48.94049297
ACCIDENTS AND ADVERSE EFFECTS,4,101,63.78517658,52.42121548
CEREBROVASCULAR DISEASE,5,96,60.62749457,36.61087901
ALZHEIMER'S DISEASE,6,79,49.89137574,29.99034062
DIABETES MELLITUS,7,52,32.83989289,22.67513871
PNEUMONIA AND INFLUENZA,7,52,32.83989289,20.82173797
"NEPHRITIS, NEPHROTIC SYNDROME, NEPHROSIS",9,39,24.62991967,14.95370415
SUICIDE,10,38,23.99838327,21.78821626
