CAUSE,TOTAL RANK,NUMBER,RATE,AGE ADJUSTED RATE
DISEASES OF HEART,1,1812,344.2295015,247.4672492
MALIGNANT NEOPLASMS,2,1420,269.7604261,188.4174048
CHRONIC LOWER RESPIRATORY DISEASES,3,457,86.81726391,59.91375431
CEREBROVASCULAR DISEASE,4,364,69.14985572,49.27724785
ACCIDENTS AND ADVERSE EFFECTS,5,353,67.06016227,61.6037694
ALZHEIMER'S DISEASE,6,260,49.39275408,35.66050064
DIABETES MELLITUS,7,235,44.64345081,32.72992684
PNEUMONIA AND INFLUENZA,8,132,25.0763213,17.74490841
SUICIDE,9,112,21.27687868,19.85319026
"NEPHRITIS, NEPHROTIC SYNDROME, NEPHROSIS",10,97,18.42729672,13.25476648
CHRONIC LIVER DISEASE AND CIRRHOSIS,11,81,15.38774262,11.92990126
HYPERTENSION AND RENAL DISEASE,12,80,15.19777049,10.69666031
ASSAULT (HOMICIDE),16,44,8.358773768,9.353041788
