CAUSE,RANK,NUMBER,RATE,AGE ADJUSTED RATE,RACE
DISEASES OF HEART,1,186,321.52117545376,217.503782644143,WHITE
MALIGNANT NEOPLASMS,2,159,274.848746758859,175.538073046718,WHITE
COVID-19,3,115,198.789974070873,135.69835179429,WHITE
ACCIDENTS AND ADVERSE EFFECTS,4,46,79.5159896283492,79.3324066040368,WHITE
CEREBROVASCULAR DISEASE,5,43,74.3301642178047,49.2559462870335,WHITE
ALZHEIMER'S DISEASE,6,37,63.9585133967156,41.7921601253197,WHITE
DIABETES MELLITUS,9,20,34.5721694036301,21.5442065209943,WHITE
CHRONIC LOWER RESPIRATORY DISEASES,7,0,0.0,0.0,WHITE
PNEUMONIA AND INFLUENZA,8,0,0.0,0.0,WHITE
"NEPHRITIS, NEPHROTIC SYNDROME, NEPHROSIS",12,12,20.743301642178,13.1178417647108,WHITE
HYPERTENSION AND RENAL DISEASE,14,10,17.286084701815,10.5176907144231,WHITE
ASSAULT (HOMICIDE),16,0,0.0,0.0,WHITE
CHRONIC LIVER DISEASE AND CIRRHOSIS,10,0,0.0,0.0,WHITE
SUICIDE,10,0,0.0,0.0,WHITE
DISEASES OF HEART,1,88,235.47040565129,234.266084757349,BLACK
MALIGNANT NEOPLASMS,2,62,165.899603981591,170.185069370433,BLACK
COVID-19,3,56,149.844803596275,179.094014234984,BLACK
ACCIDENTS AND ADVERSE EFFECTS,4,30,80.274001926576,89.4988850539077,BLACK
CEREBROVASCULAR DISEASE,5,24,64.2192015412608,74.5331159149984,BLACK
ALZHEIMER'S DISEASE,9,0,0.0,0.0,BLACK
DIABETES MELLITUS,6,15,40.137000963288,48.059502399796,BLACK
CHRONIC LOWER RESPIRATORY DISEASES,11,0,0.0,0.0,BLACK
PNEUMONIA AND INFLUENZA,11,0,0.0,0.0,BLACK
"NEPHRITIS, NEPHROTIC SYNDROME, NEPHROSIS",9,0,0.0,0.0,BLACK
HYPERTENSION AND RENAL DISEASE,8,0,0.0,0.0,BLACK
ASSAULT (HOMICIDE),7,10,26.758000642192,26.7774492559565,BLACK
CHRONIC LIVER DISEASE AND CIRRHOSIS,14,0,0.0,0.0,BLACK
SUICIDE,16,0,0.0,0.0,BLACK
