CAUSE,RANK,NUMBER,RATE,AGE ADJUSTED RATE,RACE
DISEASES OF HEART,1,2250,193.857725661163,188.973260336161,WHITE
MALIGNANT NEOPLASMS,2,2108,181.623149197214,162.019092142682,WHITE
COVID-19,3,1694,145.95332767556,133.699141454024,WHITE
ACCIDENTS AND ADVERSE EFFECTS,4,968,83.4019015288913,85.1401945817255,WHITE
CHRONIC LOWER RESPIRATORY DISEASES,5,591,50.9199626069987,46.8523997124366,WHITE
CEREBROVASCULAR DISEASE,6,527,45.4057872993034,45.9436964252032,WHITE
ALZHEIMER'S DISEASE,7,416,35.8421395000194,39.1887485852163,WHITE
DIABETES MELLITUS,8,316,27.2262405817455,24.2160476707269,WHITE
SUICIDE,9,225,19.3857725661163,18.9397540816058,WHITE
CHRONIC LIVER DISEASE AND CIRRHOSIS,10,200,17.2317978365478,15.2764326937368,WHITE
"NEPHRITIS, NEPHROTIC SYNDROME, NEPHROSIS",15,101,8.70205790745663,8.56330177633392,WHITE
ASSAULT (HOMICIDE),17,35,3.01556462139586,2.96615339554208,WHITE
DISEASES OF HEART,1,232,142.354868597866,210.91603530357,BLACK
MALIGNANT NEOPLASMS,3,177,108.606947163027,163.012360025032,BLACK
COVID-19,2,217,133.150890024728,178.174120475825,BLACK
ACCIDENTS AND ADVERSE EFFECTS,4,111,68.1094414412203,69.5491321797318,BLACK
CHRONIC LOWER RESPIRATORY DISEASES,9,38,23.316745718616,39.8599823942413,BLACK
CEREBROVASCULAR DISEASE,5,72,44.1790971510618,73.8614407761552,BLACK
ALZHEIMER'S DISEASE,8,39,23.9303442901585,60.1080013697775,BLACK
DIABETES MELLITUS,6,63,38.6567100071791,58.2007541648376,BLACK
SUICIDE,12,24,14.7263657170206,13.4929425855173,BLACK
CHRONIC LIVER DISEASE AND CIRRHOSIS,15,0,0.0,0.0,BLACK
"NEPHRITIS, NEPHROTIC SYNDROME, NEPHROSIS",10,32,19.6351542893608,30.9337107309295,BLACK
ASSAULT (HOMICIDE),7,40,24.543942861701,22.4672293437164,BLACK
