CAUSE,RANK,NUMBER,RATE,AGE ADJUSTED RATE,RACE
DISEASES OF HEART,1,1312,386.26975878749,260.444185755875,WHITE
MALIGNANT NEOPLASMS,2,929,273.509608165837,175.352401411505,WHITE
COVID-19,3,734,216.099087614343,149.014857006306,WHITE
ACCIDENTS AND ADVERSE EFFECTS,4,353,103.9277628445,95.7458392045907,WHITE
CHRONIC LOWER RESPIRATORY DISEASES,5,0,0.0,0.0,WHITE
CEREBROVASCULAR DISEASE,6,224,65.9484954027422,44.3380395724383,WHITE
DIABETES MELLITUS,7,158,46.5172422930056,30.7319931195571,WHITE
ALZHEIMER'S DISEASE,8,135,39.7457449971884,27.1213928281523,WHITE
CHRONIC LIVER DISEASE AND CIRRHOSIS,9,118,34.7407252568017,26.1295649696724,WHITE
PNEUMONIA AND INFLUENZA,10,0,0.0,0.0,WHITE
SEPTICEMIA,14,0,0.0,0.0,WHITE
HYPERTENSION AND RENAL DISEASE,16,0,0.0,0.0,WHITE
DISEASES OF HEART,1,26,260.965572618689,278.123538242873,BLACK
MALIGNANT NEOPLASMS,4,10,100.371374084111,93.1013175054669,BLACK
COVID-19,2,18,180.6684733514,176.590414435382,BLACK
ACCIDENTS AND ADVERSE EFFECTS,3,12,120.445648900933,125.921677407722,BLACK
CHRONIC LOWER RESPIRATORY DISEASES,7,0,0.0,0.0,BLACK
CEREBROVASCULAR DISEASE,6,0,0.0,0.0,BLACK
DIABETES MELLITUS,5,0,0.0,0.0,BLACK
ALZHEIMER'S DISEASE,8,0,0.0,0.0,BLACK
CHRONIC LIVER DISEASE AND CIRRHOSIS,8,0,0.0,0.0,BLACK
PNEUMONIA AND INFLUENZA,8,0,0.0,0.0,BLACK
SEPTICEMIA,9,0,0.0,0.0,BLACK
HYPERTENSION AND RENAL DISEASE,9,0,0.0,0.0,BLACK
