CAUSE,RANK,NUMBER,RATE,AGE ADJUSTED RATE,RACE
DISEASES OF HEART,1,916,245.438225127944,184.064236369488,WHITE
MALIGNANT NEOPLASMS,2,691,185.150451488438,137.305798224023,WHITE
COVID-19,3,501,134.240775970633,104.594829942332,WHITE
ACCIDENTS AND ADVERSE EFFECTS,4,367,98.3360574475496,96.3675166461065,WHITE
CEREBROVASCULAR DISEASE,5,189,50.641729857185,38.9078976850386,WHITE
ASSAULT (HOMICIDE),16,40,10.717826424801,11.7919398598094,WHITE
DIABETES MELLITUS,9,102,27.3304573832427,20.504055366687,WHITE
CHRONIC LOWER RESPIRATORY DISEASES,6,182,48.7661102328448,35.5349642005609,WHITE
SEPTICEMIA,8,118,31.6175879531631,23.940766648591,WHITE
ALZHEIMER'S DISEASE,7,149,39.9239034323839,30.2479434623336,WHITE
"NEPHRITIS, NEPHROTIC SYNDROME, NEPHROSIS",14,50,13.3972830310013,10.1183771369117,WHITE
HYPERTENSION AND RENAL DISEASE,15,43,11.5216634066611,8.44445423959587,WHITE
PNEUMONIA AND INFLUENZA,10,86,23.0433268133223,18.2036504776014,WHITE
DISEASES OF HEART,1,1250,247.507108404153,279.223521105562,BLACK
MALIGNANT NEOPLASMS,3,832,164.740731353804,174.374198291656,BLACK
COVID-19,2,947,187.511385326987,202.696677296187,BLACK
ACCIDENTS AND ADVERSE EFFECTS,4,624,123.555548515353,125.964763022794,BLACK
CEREBROVASCULAR DISEASE,5,303,59.9957230771668,69.8275847063103,BLACK
ASSAULT (HOMICIDE),6,300,59.4017060169968,59.0827300007325,BLACK
DIABETES MELLITUS,7,226,44.7492851994709,47.8170640193727,BLACK
CHRONIC LOWER RESPIRATORY DISEASES,10,124,24.552705153692,26.0855186889552,BLACK
SEPTICEMIA,8,147,29.1068359483284,32.2475423623009,BLACK
ALZHEIMER'S DISEASE,12,87,17.2264947449291,26.0755113740786,BLACK
"NEPHRITIS, NEPHROTIC SYNDROME, NEPHROSIS",9,133,26.3347563342019,29.6215032549888,BLACK
HYPERTENSION AND RENAL DISEASE,10,124,24.552705153692,29.7389471599452,BLACK
PNEUMONIA AND INFLUENZA,13,71,14.0584037573559,17.4446981045014,BLACK
