CAUSE,RANK,NUMBER,RATE,AGE ADJUSTED RATE,RACE
DISEASES OF HEART,1,1184,309.1843955889,244.22549905402,WHITE
MALIGNANT NEOPLASMS,2,906,236.588735138128,174.522379850517,WHITE
COVID-19,3,822,214.653355721348,165.769875960921,WHITE
ACCIDENTS AND ADVERSE EFFECTS,4,365,95.3144462752942,94.0618509562152,WHITE
CHRONIC LOWER RESPIRATORY DISEASES,5,317,82.7799437514199,61.5758900978537,WHITE
CEREBROVASCULAR DISEASE,6,217,56.6663968266818,45.7245949352833,WHITE
ALZHEIMER'S DISEASE,7,181,47.265519933776,40.4896925868943,WHITE
DIABETES MELLITUS,8,162,42.3039460180758,33.0468990517515,WHITE
CHRONIC LIVER DISEASE AND CIRRHOSIS,9,0,0.0,0.0,WHITE
SUICIDE,10,0,0.0,0.0,WHITE
PNEUMONIA AND INFLUENZA,11,80,20.8908375397905,16.2374240911985,WHITE
HYPERTENSION AND RENAL DISEASE,13,71,18.5406183165641,15.213841417697,WHITE
DISEASES OF HEART,1,85,274.370561652679,266.890864973468,BLACK
MALIGNANT NEOPLASMS,3,59,190.445448676566,181.656442474086,BLACK
COVID-19,2,72,232.408005164622,228.88127824475,BLACK
ACCIDENTS AND ADVERSE EFFECTS,4,22,71.0135571336346,70.3228329162295,BLACK
CHRONIC LOWER RESPIRATORY DISEASES,7,11,35.5067785668173,35.0313260465175,BLACK
CEREBROVASCULAR DISEASE,6,14,45.1904454486766,49.2514402870472,BLACK
ALZHEIMER'S DISEASE,10,0,0.0,0.0,BLACK
DIABETES MELLITUS,5,21,67.7856681730148,54.4360599097261,BLACK
CHRONIC LIVER DISEASE AND CIRRHOSIS,13,0,0.0,0.0,BLACK
SUICIDE,15,0,0.0,0.0,BLACK
PNEUMONIA AND INFLUENZA,9,0,0.0,0.0,BLACK
HYPERTENSION AND RENAL DISEASE,8,0,0.0,0.0,BLACK
