CAUSE,RANK,NUMBER,RATE,AGE ADJUSTED RATE,RACE
DISEASES OF HEART,1,1220,382.55427096758,281.187184235778,
MALIGNANT NEOPLASMS,2,849,266.220144304488,183.690630820683,
COVID-19,3,741,232.35468425162,169.577431441626,
ACCIDENTS AND ADVERSE EFFECTS,4,324,101.596380158603,100.406405048084,
CHRONIC LOWER RESPIRATORY DISEASES,5,0,0.0,0.0,
CEREBROVASCULAR DISEASE,6,206,64.5952293600996,47.1076762135583,
ALZHEIMER'S DISEASE,7,0,0.0,0.0,
DIABETES MELLITUS,8,144,45.153946737157,31.4743752366032,
CHRONIC LIVER DISEASE AND CIRRHOSIS,9,79,24.7719568905236,19.5285673444124,
"NEPHRITIS, NEPHROTIC SYNDROME, NEPHROSIS",10,0,0.0,0.0,
PNEUMONIA AND INFLUENZA,14,41,12.8563320571072,9.58521684413388,
ASSAULT (HOMICIDE),17,0,0.0,0.0,
DISEASES OF HEART,1,37,261.465620804183,276.386900433144,
MALIGNANT NEOPLASMS,2,26,183.73259840294,161.567636857358,
COVID-19,3,16,113.066214401809,95.5060672613251,
ACCIDENTS AND ADVERSE EFFECTS,5,10,70.6663840011307,69.7138317450377,
CHRONIC LOWER RESPIRATORY DISEASES,11,0,0.0,0.0,
CEREBROVASCULAR DISEASE,4,12,84.7996608013568,82.8888700141988,
ALZHEIMER'S DISEASE,10,0,0.0,0.0,
DIABETES MELLITUS,6,0,0.0,0.0,
CHRONIC LIVER DISEASE AND CIRRHOSIS,9,0,0.0,0.0,
"NEPHRITIS, NEPHROTIC SYNDROME, NEPHROSIS",8,0,0.0,0.0,
PNEUMONIA AND INFLUENZA,7,0,0.0,0.0,
ASSAULT (HOMICIDE),8,0,0.0,0.0,
