CAUSE,RANK,NUMBER,RATE,AGE ADJUSTED RATE,RACE
DISEASES OF HEART,1,611.0,405.556993700923,259.614877605357,WHITE
MALIGNANT NEOPLASMS,2,456.0,286.336835098868,181.575056278336,WHITE
COVID-19,3,314.0,208.420451754648,135.143469021551,WHITE
ACCIDENTS AND ADVERSE EFFECTS,4,159.0,105.537744678309,96.501327783763,WHITE
CHRONIC LOWER RESPIRATORY DISEASES,5,137.0,86.0266368608441,52.1580931285369,WHITE
CEREBROVASCULAR DISEASE,6,103.0,64.6769605596127,40.9184158886508,WHITE
ALZHEIMER'S DISEASE,7,88.0,58.4108272433408,36.5046327619455,WHITE
DIABETES MELLITUS,8,88.0,55.2579857208341,35.5986203303739,WHITE
CHRONIC LIVER DISEASE AND CIRRHOSIS,9,58.0,36.4200360432771,24.887143557755,WHITE
PNEUMONIA AND INFLUENZA,10,33.0,21.9040602162528,13.6885426740371,WHITE
NUTRITIONAL DEFICIENCIES,16,17.0,10.6748381506157,6.71716550365198,WHITE
BENIGN NEOPLASMS,20,0.0,0.0,0.0,WHITE
PEPTIC ULCER,29,0.0,0.0,0.0,WHITE
DISEASES OF HEART,1,23.0,588.686972101357,599.830844342554,BLACK
MALIGNANT NEOPLASMS,5,,,,BLACK
COVID-19,3,,,,BLACK
ACCIDENTS AND ADVERSE EFFECTS,2,,,,BLACK
CHRONIC LOWER RESPIRATORY DISEASES,7,,,,BLACK
CEREBROVASCULAR DISEASE,6,,,,BLACK
ALZHEIMER'S DISEASE,4,0.0,0.0,0.0,BLACK
DIABETES MELLITUS,4,,,,BLACK
CHRONIC LIVER DISEASE AND CIRRHOSIS,7,,,,BLACK
PNEUMONIA AND INFLUENZA,4,0.0,0.0,0.0,BLACK
NUTRITIONAL DEFICIENCIES,7,,,,BLACK
BENIGN NEOPLASMS,7,,,,BLACK
PEPTIC ULCER,7,,,,BLACK
