CAUSE,RANK,NUMBER,RATE,AGE ADJUSTED RATE,RACE
DISEASES OF HEART,1,1100,316.510329746216,221.832012125371,WHITE
MALIGNANT NEOPLASMS,2,1010,290.614030039708,195.2813726282,WHITE
COVID-19,3,803,231.052540714738,165.659922807316,WHITE
ACCIDENTS AND ADVERSE EFFECTS,4,397,108.434096924241,105.763042195736,WHITE
CHRONIC LOWER RESPIRATORY DISEASES,5,359,98.0550145989987,65.0604549675466,WHITE
CEREBROVASCULAR DISEASE,7,233,67.0426425735167,48.4872337638741,WHITE
ALZHEIMER'S DISEASE,6,239,65.3,48.9,WHITE
DIABETES MELLITUS,8,206,59.2737526615641,40.336133339401,WHITE
SUICIDE,10,94,25.7,24.9,WHITE
CHRONIC LIVER DISEASE AND CIRRHOSIS,9,92,26.4717730333199,19.3524103422269,WHITE
HYPERTENSION AND RENAL DISEASE,12,84,22.9432346136933,17.2302338764944,WHITE
"NEPHRITIS, NEPHROTIC SYNDROME, NEPHROSIS",13,83,22.6701008682922,15.6810002189722,WHITE
ASSAULT (HOMICIDE),20,14,3.82387243561555,4.07007394715446,WHITE
ATHEROSCLEROSIS,29,*,*,*,WHITE
DISEASES OF HEART,1,14,200.630553167097,225.880014399906,BLACK
MALIGNANT NEOPLASMS,3,1020,278.596420309133,190.823082733016,BLACK
COVID-19,2,820,223.969671228911,162.838162741993,BLACK
ACCIDENTS AND ADVERSE EFFECTS,6,397,108.434096924241,105.763042195736,BLACK
CHRONIC LOWER RESPIRATORY DISEASES,6,359,98.0550145989987,65.0604549675466,BLACK
CEREBROVASCULAR DISEASE,4,241,65.8252326416677,48.4007317515431,BLACK
ALZHEIMER'S DISEASE,9,239,65.2789651508654,48.8634862774764,BLACK
DIABETES MELLITUS,4,213,58.1774877704366,40.2255065833653,BLACK
SUICIDE,9,94,25.6745720677044,24.901833910272,BLACK
CHRONIC LIVER DISEASE AND CIRRHOSIS,3,0,0,0,BLACK
HYPERTENSION AND RENAL DISEASE,9,84,22.9432346136933,17.2302338764944,BLACK
"NEPHRITIS, NEPHROTIC SYNDROME, NEPHROSIS",6,83,22.6701008682922,15.6810002189722,BLACK
ASSAULT (HOMICIDE),9,14,3.82387243561555,4.07007394715446,BLACK
ATHEROSCLEROSIS,9,*,*,*,BLACK
