CAUSE,RANK,NUMBER,RATE,AGE ADJUSTED RATE,RACE
DISEASES OF HEART,1,1761,414.495332514228,288.547451063685,WHITE
MALIGNANT NEOPLASMS,2,1230,289.5112203251,193.601922763127,WHITE
COVID-19,3,961,226.195351814976,158.671603368102,WHITE
ACCIDENTS AND ADVERSE EFFECTS,4,371,87.3241160492781,83.1618279516672,WHITE
CHRONIC LOWER RESPIRATORY DISEASES,5,360,84.7349913146634,55.3459110285765,WHITE
CEREBROVASCULAR DISEASE,6,280,65.9049932447382,45.6275315502446,WHITE
DIABETES MELLITUS,8,254,59.7852438720125,42.2940082296903,WHITE
ALZHEIMER'S DISEASE,7,265,62.3743686066272,43.8488883783102,WHITE
SUICIDE,9,119,28.0096221290137,27.2352883289106,WHITE
CHRONIC LIVER DISEASE AND CIRRHOSIS,10,108,25.420497394399,19.1267822558675,WHITE
"NEPHRITIS, NEPHROTIC SYNDROME, NEPHROSIS",11,93,21.889872756288,15.0124252869415,WHITE
ASSAULT (HOMICIDE),17,26,6.11974937272569,6.74243398320479,WHITE
DISEASES OF HEART,1,270,305.164053934921,282.811615125053,BLACK
MALIGNANT NEOPLASMS,2,219,247.521954858325,218.910369726834,BLACK
COVID-19,3,205,231.698633543181,224.482456588274,BLACK
ACCIDENTS AND ADVERSE EFFECTS,5,50,56.5118618398002,56.2540679130786,BLACK
CHRONIC LOWER RESPIRATORY DISEASES,10,23,25.9954564463081,25.21969661212,BLACK
CEREBROVASCULAR DISEASE,4,60,67.8142342077602,63.442761650669,BLACK
DIABETES MELLITUS,6,48,54.2513873662082,51.9973628196467,BLACK
ALZHEIMER'S DISEASE,7,32,36.1675915774721,43.690297992235,BLACK
SUICIDE,14,12,13.562846841552,13.7706712193582,BLACK
CHRONIC LIVER DISEASE AND CIRRHOSIS,13,14,15.823321315144,13.8382098995616,BLACK
"NEPHRITIS, NEPHROTIC SYNDROME, NEPHROSIS",9,28,31.6466426302881,32.4579844643946,BLACK
ASSAULT (HOMICIDE),8,29,32.7768798670841,34.3542543841253,BLACK
